displacement,km,link,name,price,typ
1.5L,5.33万公里,https://www.guazi.com/km/9ca48e8ea707b850x.htm#fr_page=list&fr_pos=city&fr_no=0,雪佛兰 科沃兹 2018款 320 自动欣享天窗版,5.98,自动
1.6L,8.31万公里,https://www.guazi.com/zhuhai/a67a7cfea5142e71x.htm#fr_page=list&fr_pos=city&fr_no=13,雪铁龙 爱丽舍 2014款 1.6L 自动时尚型,4.38,自动
1.5T,0.96万公里,https://www.guazi.com/baoding/e05c8523ba098c70x.htm#fr_page=list&fr_pos=city&fr_no=12,别克 君越 2016款 20T 精英型,15.70,自动
1.6L,7.52万公里,https://www.guazi.com/cd/b204434674da7618x.htm#fr_page=list&fr_pos=city&fr_no=11,大众POLO 2011款 1.6L 自动致酷版,5.00,自动
3.0L,13.66万公里,https://www.guazi.com/ty/729d430a9454be93x.htm#fr_page=list&fr_pos=city&fr_no=10,别克GL8 2011款 3.0L XT豪华商务旗舰版,13.20,自动
1.5T,4.87万公里,https://www.guazi.com/linyi/3e361a9d4c37240bx.htm#fr_page=list&fr_pos=city&fr_no=9,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,9.50,自动
1.5T,5.19万公里,https://www.guazi.com/nantong/986b210c7d26905ax.htm#fr_page=list&fr_pos=city&fr_no=8,福特 蒙迪欧 2013款 1.5L GTDi180时尚型,10.80,自动
1.5L,6.15万公里,https://www.guazi.com/yc/be7359c50924554bx.htm#fr_page=list&fr_pos=city&fr_no=7,福特 福睿斯 2015款 1.5L 自动舒适型,5.98,自动
1.4T,8.37万公里,https://www.guazi.com/wei/5f60ca22ccc3bbe3x.htm#fr_page=list&fr_pos=city&fr_no=6,大众 2016款 途安L 280TSI 自动舒雅版,10.45,自动
1.8T,5.67万公里,https://www.guazi.com/zhuhai/2c24ede70f25af56x.htm#fr_page=list&fr_pos=city&fr_no=5,纳智捷 纳5 2015款 1.8T 自动智慧型,4.78,自动
1.6T,12.04万公里,https://www.guazi.com/km/c8095b0002881f2ax.htm#fr_page=list&fr_pos=city&fr_no=4,别克 君威 2015款 1.6T 领先技术型,8.90,自动
1.6L,4.27万公里,https://www.guazi.com/yantai/30f0fd347b1f3a2ex.htm#fr_page=list&fr_pos=city&fr_no=3,现代ix25 2015款 1.6L 自动两驱智能型GLS,8.08,自动
2.0L,4.78万公里,https://www.guazi.com/changzhi/ffeeeb41f3ab8cc2x.htm#fr_page=list&fr_pos=city&fr_no=39,传祺GS5 2014款 2.0L 自动两驱超享版,5.88,自动
2.0T,0.05万公里,https://www.guazi.com/yancheng/0885f2c043484446x.htm#fr_page=list&fr_pos=city&fr_no=39,大众 帕萨特 2020款 330TSI 豪华版 国VI,19.80,自动
2.0T,5.78万公里,https://www.guazi.com/jinhua/c0744dbaf7803f03x.htm#fr_page=list&fr_pos=city&fr_no=39,凯迪拉克ATS-L 2017款 28T 时尚型,17.80,自动
2.0L,3.52万公里,https://www.guazi.com/yc/5df81a2d7aa29e40x.htm#fr_page=list&fr_pos=city&fr_no=39,丰田 凯美瑞 2018款 2.0G 豪华版,18.58,自动
2.0T,5.48万公里,https://www.guazi.com/zhongshan/013a679c7bd2f79ex.htm#fr_page=list&fr_pos=city&fr_no=39,宝马3系GT 2018款 320i 时尚型(进口),27.00,自动
1.8T,3.19万公里,https://www.guazi.com/rizhao/18569055f93c2501x.htm#fr_page=list&fr_pos=city&fr_no=38,大众 迈腾 2017款 330TSI DSG 豪华型,14.98,自动
2.0L,4.36万公里,https://www.guazi.com/zibo/c7131c21a2725cf1x.htm#fr_page=list&fr_pos=city&fr_no=37,丰田 奕泽IZOA 2018款 2.0L 奕驰版 国V,12.98,自动
2.0T,0.59万公里,https://www.guazi.com/nj/4c0dc857b2eb1162x.htm#fr_page=list&fr_pos=city&fr_no=36,奥迪A6L 2019款 45 TFSI 臻选动感型,37.80,自动
1.0L,0.45万公里,https://www.guazi.com/nmg/f1c2d634714fc45cx.htm#fr_page=list&fr_pos=city&fr_no=35,吉利 熊猫 2016款 1.0L IMT酷趣版,3.80,自动
1.5T,5.61万公里,https://www.guazi.com/zhongshan/f1d1b737bfd848bax.htm#fr_page=list&fr_pos=city&fr_no=34,长安CS55 2017款 1.5T 手动炫色型,5.50,手动
2.0L,1.8万公里,https://www.guazi.com/ganzhou/368dba3360133fedx.htm#fr_page=list&fr_pos=city&fr_no=33,丰田 奕泽IZOA 2018款 2.0L 奕驰版 国VI,13.30,自动
1.5T,0.72万公里,https://www.guazi.com/nj/9aac1fd69e7e7ee8x.htm#fr_page=list&fr_pos=city&fr_no=32,宝马1系 2019款 118i 时尚型,15.20,自动
1.5L,5.02万公里,https://www.guazi.com/ty/7b140234ec4c88e2x.htm#fr_page=list&fr_pos=city&fr_no=31,福特 嘉年华 2013款 两厢 1.5L 自动时尚型,4.70,自动
1.6L,5.57万公里,https://www.guazi.com/qd/25fe950d2c7c647ex.htm#fr_page=list&fr_pos=city&fr_no=30,丰田 雷凌 2016款 1.6E CVT新锐版,7.98,自动
1.6L,4.25万公里,https://www.guazi.com/nj/3619b70a49b1c085x.htm#fr_page=list&fr_pos=city&fr_no=29,现代ix25 2015款 1.6L 自动两驱智能型GLS,8.28,自动
2.0T,4.32万公里,https://www.guazi.com/cd/71416f5bc6de0828x.htm#fr_page=list&fr_pos=city&fr_no=28,奔驰E级 2018款 E 300 L 豪华型,39.88,自动
1.5T,0.85万公里,https://www.guazi.com/nantong/6210e668cfd530bdx.htm#fr_page=list&fr_pos=city&fr_no=27,福特 福克斯Active 2020款 EcoBoost 180 自动劲耀型,12.59,自动
1.5T,5.72万公里,https://www.guazi.com/luoyang/fec0f1d88164ec84x.htm#fr_page=list&fr_pos=city&fr_no=26,北汽绅宝 绅宝X55 2016款 1.5T CVT豪华版,5.18,自动
2.0T,3.78万公里,https://www.guazi.com/wenzhou/6966ed7fc33fffaex.htm#fr_page=list&fr_pos=city&fr_no=25,WEY VV7 2017款 VV7c 2.0T 超豪型,11.50,自动
2.0T,2.47万公里,https://www.guazi.com/nj/90b51ad841d8907fx.htm#fr_page=list&fr_pos=city&fr_no=24,别克 君威 2017款 28T 尊享型,15.50,自动
2.0T,10.18万公里,https://www.guazi.com/changzhou/9dee2f65f973245ex.htm#fr_page=list&fr_pos=city&fr_no=23,奥迪Q5 2015款 40 TFSI 技术型,20.50,自动
1.5T,2.3万公里,https://www.guazi.com/cd/6936b08a96df6502x.htm#fr_page=list&fr_pos=city&fr_no=22,领克02 2018款 1.5T DCT两驱劲Pro版 国V,12.20,自动
1.5L,5.73万公里,https://www.guazi.com/foshan/14ce2db3e21d7278x.htm#fr_page=list&fr_pos=city&fr_no=21,本田 锋范 2015款 1.5L CVT舒适版,6.38,自动
1.5L,10.15万公里,https://www.guazi.com/xa/3961c32899f7f98fx.htm#fr_page=list&fr_pos=city&fr_no=20,福特 翼搏 2013款 1.5L 自动风尚型,5.18,自动
2.5L,9.38万公里,https://www.guazi.com/yancheng/7da7a99d6e90432dx.htm#fr_page=list&fr_pos=city&fr_no=19,奥迪A6L 2014款 30 FSI 舒适型,24.80,自动
2.0L,3.56万公里,https://www.guazi.com/nn/144c18d334fe9721x.htm#fr_page=list&fr_pos=city&fr_no=18,奔腾X80 2015款 2.0L 自动舒适周年纪念型,5.58,自动
1.5L,2.59万公里,https://www.guazi.com/tj/13e06e30c3b3cb32x.htm#fr_page=list&fr_pos=city&fr_no=17,别克 英朗 2015款 15N 自动精英型,6.95,自动
1.6L,3.84万公里,https://www.guazi.com/hf/3ff73c545e76cd9bx.htm#fr_page=list&fr_pos=city&fr_no=16,大众 朗逸 2015款 1.6L 自动豪华版,7.88,自动
1.6L,0.01万公里,https://www.guazi.com/zhongshan/f222c897dab94424x.htm#fr_page=list&fr_pos=city&fr_no=15,日产 轩逸 2019款 经典 1.6XE CVT舒适版,9.50,自动
2.0T,5.15万公里,https://www.guazi.com/wh/dafe6c222f57c52bx.htm#fr_page=list&fr_pos=city&fr_no=14,捷豹XE 2017款 2.0T 200PS R-Sport,19.98,自动
1.4L,2.33万公里,https://www.guazi.com/jining/494f9ccc0b6cb544x.htm#fr_page=list&fr_pos=city&fr_no=13,大众 桑塔纳 2016款 1.4L 手动风尚版,5.38,手动
1.5T,4.12万公里,https://www.guazi.com/nmg/745bcf42d97975dcx.htm#fr_page=list&fr_pos=city&fr_no=12,传祺GS4 2017款 235T 自动两驱豪华智联版,8.28,自动
1.5L,1.07万公里,https://www.guazi.com/wenzhou/34f7142292352825x.htm#fr_page=list&fr_pos=city&fr_no=11,吉利 帝豪 2018款 1.5L 手动向上互联版,5.60,手动
1.6L,4.72万公里,https://www.guazi.com/cd/fd7dd13df4ac0267x.htm#fr_page=list&fr_pos=city&fr_no=10,福特 福克斯 2017款 三厢 1.6L 自动舒适型智行版,6.50,自动
1.5L,0.67万公里,https://www.guazi.com/dl/c15c2b10707927e3x.htm#fr_page=list&fr_pos=city&fr_no=9,五菱宏光 2018款 1.5L S舒适型L2B,5.20,手动
2.0T,3.15万公里,https://www.guazi.com/nj/c8d4a8c99086f0adx.htm#fr_page=list&fr_pos=city&fr_no=8,路虎 揽胜极光 2018款 240PS PURE 风尚版,25.80,自动
1.5T,1.64万公里,https://www.guazi.com/jining/2237be8d9785265ex.htm#fr_page=list&fr_pos=city&fr_no=7,哈弗H4 2019款 红标 1.5GDIT DCT豪华智联版,8.45,自动
1.6L,0.16万公里,https://www.guazi.com/baoding/cb55a773fb4b95bcx.htm#fr_page=list&fr_pos=city&fr_no=6,日产 轩逸 2020款 1.6L XL CVT悦享版,12.50,自动
1.5L,3万公里,https://www.guazi.com/pingdingshan/7b27955ddf0ea79ex.htm#fr_page=list&fr_pos=city&fr_no=5,福特 福睿斯 2015款 1.5L 手动舒适型,4.58,手动
1.5T,0.37万公里,https://www.guazi.com/nantong/3b457f08639f2627x.htm#fr_page=list&fr_pos=city&fr_no=4,福特 福克斯 2019款 三厢 EcoBoost 180 自动锋耀型,12.38,自动
1.6L,0.64万公里,https://www.guazi.com/xinxiang/80e1ff811240f8cdx.htm#fr_page=list&fr_pos=city&fr_no=3,日产 骐达 2016款 1.6L CVT智尊版,9.50,自动
1.5L,2.97万公里,https://www.guazi.com/luzhou/c74bbac2be75ea0ax.htm#fr_page=list&fr_pos=city&fr_no=2,本田 缤智 2017款 1.5L CVT两驱舒适型,9.98,自动
2.0T,1.91万公里,https://www.guazi.com/wh/fa0d5a85366c9343x.htm#fr_page=list&fr_pos=city&fr_no=1,奔驰V级 2017款 V 260 领航版,42.80,自动
1.5T,0.45万公里,https://www.guazi.com/nantong/a7f1f9c1de5b6288x.htm#fr_page=list&fr_pos=city&fr_no=0,福特 翼虎 2017款 EcoBoost 180 四驱豪翼型,14.60,自动
2.0T,0.6万公里,https://www.guazi.com/qd/8a690796f8a868eex.htm#fr_page=list&fr_pos=city&fr_no=38,宝马3系 2020款 330Li xDrive M运动曜夜套装,37.80,自动
1.6T,7.08万公里,https://www.guazi.com/cd/927b551723153fc0x.htm#fr_page=list&fr_pos=city&fr_no=37,宝马1系 2015款 118i 都市设计套装(进口),14.38,自动
1.5L,0.69万公里,https://www.guazi.com/qd/282664aabe5d6261x.htm#fr_page=list&fr_pos=city&fr_no=36,本田 飞度 2014款 1.5L LX CVT舒适型,6.90,自动
1.4T,5.24万公里,https://www.guazi.com/jiaxing/9dd7a230415d9d1fx.htm#fr_page=list&fr_pos=city&fr_no=35,别克 昂科拉 2015款 1.4T 自动两驱都市精英型,7.58,自动
1.3T,6.01万公里,https://www.guazi.com/linfen/172d6df3da28830ax.htm#fr_page=list&fr_pos=city&fr_no=34,吉利 远景SUV 2016款 1.3T CVT旗舰型,6.30,自动
1.6L,5.96万公里,https://www.guazi.com/suqian/eddbc4c0cd999554x.htm#fr_page=list&fr_pos=city&fr_no=33,现代 朗动 2015款 1.6L 手动领先型,5.99,手动
1.5L,3.85万公里,https://www.guazi.com/wenzhou/2412a0c3d0dd3d1fx.htm#fr_page=list&fr_pos=city&fr_no=32,大众 捷达 2017款 1.5L 手动舒适型,5.70,手动
2.0T,1万公里,https://www.guazi.com/wh/3eb0e86499362ce7x.htm#fr_page=list&fr_pos=city&fr_no=31,讴歌RDX 2019款 2.0T 钻享版SH-AWD,35.00,自动
1.4T,7.2万公里,https://www.guazi.com/nj/0db0f6edca977b30x.htm#fr_page=list&fr_pos=city&fr_no=30,大众 甲壳虫 2015款 280TSI(进口),13.58,自动
1.5L,0.69万公里,https://www.guazi.com/cd/a15c9f641dace862x.htm#fr_page=list&fr_pos=city&fr_no=29,众泰T300 2018款 1.5L CVT尊享型,5.30,自动
1.4T,4.93万公里,https://www.guazi.com/sjz/aad3f0f6048d832ax.htm#fr_page=list&fr_pos=city&fr_no=28,大众 朗逸 2013款 改款 1.4TSI DSG舒适版,7.88,自动
1.0L,2.84万公里,https://www.guazi.com/sh/80a26d1a3137a086x.htm#fr_page=list&fr_pos=city&fr_no=27,Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,5.60,自动
1.8L,5.35万公里,https://www.guazi.com/jiaxing/715912b497e6cfb7x.htm#fr_page=list&fr_pos=city&fr_no=26,标致408 2014款 1.8L 手动领先版,5.00,手动
1.5T,7.47万公里,https://www.guazi.com/jstaizhou/70b9fea3568f6a58x.htm#fr_page=list&fr_pos=city&fr_no=25,别克 君越 2016款 20T 精英型,15.80,自动
1.6L,0.25万公里,https://www.guazi.com/jstaizhou/0d6742edec948a79x.htm#fr_page=list&fr_pos=city&fr_no=24,日产 轩逸 2020款 1.6L XL CVT悦享版,12.38,自动
1.8L,7.91万公里,https://www.guazi.com/gz/afcf69a73c1f8385x.htm#fr_page=list&fr_pos=city&fr_no=23,丰田 雷凌 2016款 双擎 1.8H GS-L CVT领先版,9.38,自动
2.0T,4.2万公里,https://www.guazi.com/xa/08d75adc287c8d76x.htm#fr_page=list&fr_pos=city&fr_no=22,奔驰C级 2018款 C 200 L 运动版,27.00,自动
1.5T,2.63万公里,https://www.guazi.com/cs/fa669f8c556940c0x.htm#fr_page=list&fr_pos=city&fr_no=21,领克03 2019款 1.5TD DCT劲版 国VI,11.88,自动
1.5T,0.09万公里,https://www.guazi.com/nantong/7bd7f08a01430a67x.htm#fr_page=list&fr_pos=city&fr_no=20,福特 领界 2019款 EcoBoost 145 CVT尊领型PLUS 国V,14.40,自动
1.3T,1.86万公里,https://www.guazi.com/su/46f815c2605c4e26x.htm#fr_page=list&fr_pos=city&fr_no=19,别克GL6 2018款 18T 6座精英型,9.60,自动
1.5L,0.36万公里,https://www.guazi.com/jn/59a052586d11f233x.htm#fr_page=list&fr_pos=city&fr_no=18,宝骏510 2019款 1.5L 手动劲享型73kW 国VI,5.48,手动
1.2T,2.7万公里,https://www.guazi.com/dg/7bd68ba85b51723ex.htm#fr_page=list&fr_pos=city&fr_no=17,奔腾T77 2019款 改款 230 TID 自动豪华型 国VI,8.15,自动
1.4L,2.23万公里,https://www.guazi.com/jstaizhou/36c68a1a9250203ax.htm#fr_page=list&fr_pos=city&fr_no=16,起亚K2 2017款 三厢 1.4L AT GLS,6.98,自动
1.8T,4.89万公里,https://www.guazi.com/cs/62f61c44faff90c9x.htm#fr_page=list&fr_pos=city&fr_no=15,奥迪A6L 2018款 30周年年型 TFSI 进取型,28.58,自动
1.5L,1.57万公里,https://www.guazi.com/luzhou/f94bbcd283d22956x.htm#fr_page=list&fr_pos=city&fr_no=14,大众 桑塔纳 2018款 1.5L 自动舒适版,7.58,自动
2.3T,1.13万公里,https://www.guazi.com/changzhou/5d3a489aabee016ex.htm#fr_page=list&fr_pos=city&fr_no=13,福特 探险者 2016款 2.3T 精英版(进口),29.30,自动
1.5L,2.01万公里,https://www.guazi.com/sjz/375f1644b84685a9x.htm#fr_page=list&fr_pos=city&fr_no=12,大众POLO 2018款 1.5L 自动安驾型,7.90,自动
1.0T,0.83万公里,https://www.guazi.com/dg/1f5d24c59383d190x.htm#fr_page=list&fr_pos=city&fr_no=11,雪佛兰 科沃兹 2020款 Redline 325T 自动欣耀版 国VI,6.79,自动
2.0T,2.56万公里,https://www.guazi.com/sh/7d5f327f8b3bce00x.htm#fr_page=list&fr_pos=city&fr_no=10,大众 帕萨特 2019款 330TSI 豪华版 国V,18.20,自动
2.0L,2.4万公里,https://www.guazi.com/jstaizhou/abccc76a00fdc553x.htm#fr_page=list&fr_pos=city&fr_no=9,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,10.88,自动
1.6L,3.08万公里,https://www.guazi.com/zz/d7c33730a22e711dx.htm#fr_page=list&fr_pos=city&fr_no=8,大众 高尔夫 2016款 1.6L 自动舒适型,9.60,自动
2.4L,8.33万公里,https://www.guazi.com/bj/ab4d461d31fe4cb5x.htm#fr_page=list&fr_pos=city&fr_no=7,别克GL8 2013款 2.4L 经典版,8.68,自动
2.0L,4.78万公里,https://www.guazi.com/hrb/9dad27382fc4d336x.htm#fr_page=list&fr_pos=city&fr_no=6,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,8.40,自动
2.9T,1.51万公里,https://www.guazi.com/gz/ef53d5ca1871cfe3x.htm#fr_page=list&fr_pos=city&fr_no=5,江铃 宝典 2018款 2.9T新超值两驱柴油舒适型加长货箱JX4D30B5L,7.70,手动
1.6L,4.34万公里,https://www.guazi.com/zhuhai/1a5e575b441f24fdx.htm#fr_page=list&fr_pos=city&fr_no=4,现代 领动 2016款 1.6L 自动智炫·精英型,8.18,自动
1.6L,3.92万公里,https://www.guazi.com/nj/caa8bfc54cf5f7b8x.htm#fr_page=list&fr_pos=city&fr_no=3,DS 3 2012款 1.6L 风尚版(进口),7.98,自动
1.3T,1.82万公里,https://www.guazi.com/quanzhou/73822b5535d33686x.htm#fr_page=list&fr_pos=city&fr_no=2,别克 英朗 2018款 18T 自动精英型,7.29,自动
1.6L,7.15万公里,https://www.guazi.com/wh/18ec1fae7c84cc42x.htm#fr_page=list&fr_pos=city&fr_no=1,现代 领动 2016款 1.6L 自动智炫·精英型,7.36,自动
1.8L,3.11万公里,https://www.guazi.com/dl/01e673ceeb410323x.htm#fr_page=list&fr_pos=city&fr_no=38,起亚 凯绅 2017款 1.8L 自动GLS,9.60,自动
1.6L,4.05万公里,https://www.guazi.com/dg/08df0d3964e1c46bx.htm#fr_page=list&fr_pos=city&fr_no=37,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,8.12,自动
2.0T,6.19万公里,https://www.guazi.com/jinhua/199fdbacd48221c5x.htm#fr_page=list&fr_pos=city&fr_no=36,雷克萨斯RX 2016款 300 两驱精英版 国V,37.00,自动
1.5L,4.79万公里,https://www.guazi.com/zhongshan/060ad5ae35396081x.htm#fr_page=list&fr_pos=city&fr_no=35,哈弗H1 2016款 改款 蓝标 1.5L AMT豪华型,4.50,自动
1.3T,0.4万公里,https://www.guazi.com/bj/1147d9e82b5230ecx.htm#fr_page=list&fr_pos=city&fr_no=34,别克GL6 2019款 18T 6座互联豪华型 国VI,12.58,自动
